epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.67901,4.66623,0,0.03896,4.86458,2.185e-05,2.185e-05,2.185e-05
2,3.10529,4.50051,0,0.07792,4.69792,4.4208e-05,4.4208e-05,4.4208e-05
3,4.16459,4.27068,0,0.11688,4.57552,6.61145e-05,6.61145e-05,6.61145e-05
4,5.34047,4.0157,0.01299,0.22078,4.4349,8.75696e-05,8.75696e-05,8.75696e-05
5,6.50498,3.76023,0.02597,0.24675,4.18229,9.1238e-05,9.1238e-05,9.1238e-05
6,7.64075,3.58297,0.02597,0.27273,4.14388,9.02975e-05,9.02975e-05,9.02975e-05
7,8.76405,3.41323,0.03896,0.2987,4.15495,8.9357e-05,8.9357e-05,8.9357e-05
8,9.8593,3.23939,0.06494,0.33766,3.96029,8.84165e-05,8.84165e-05,8.84165e-05
9,10.977,3.12219,0.06494,0.33766,3.9375,8.7476e-05,8.7476e-05,8.7476e-05
10,12.0486,2.96613,0.1039,0.37662,4.03581,8.65355e-05,8.65355e-05,8.65355e-05
11,13.2311,2.89809,0.1039,0.38961,3.86654,8.5595e-05,8.5595e-05,8.5595e-05
12,14.3549,2.79814,0.11688,0.38961,3.91211,8.46545e-05,8.46545e-05,8.46545e-05
13,15.5791,2.68157,0.11688,0.38961,3.87565,8.3714e-05,8.3714e-05,8.3714e-05
14,16.724,2.60627,0.12987,0.36364,3.92839,8.27735e-05,8.27735e-05,8.27735e-05
15,17.8472,2.52982,0.09091,0.36364,4.04818,8.1833e-05,8.1833e-05,8.1833e-05
16,18.9318,2.46829,0.14286,0.36364,3.92969,8.08925e-05,8.08925e-05,8.08925e-05
17,19.9707,2.37014,0.11688,0.37662,3.93685,7.9952e-05,7.9952e-05,7.9952e-05
18,21.1214,2.38632,0.1039,0.33766,3.97396,7.90115e-05,7.90115e-05,7.90115e-05
19,22.2382,2.25743,0.14286,0.35065,4.10091,7.8071e-05,7.8071e-05,7.8071e-05
20,23.3645,2.21573,0.12987,0.36364,4.10742,7.71305e-05,7.71305e-05,7.71305e-05
21,24.4378,2.09126,0.14286,0.36364,4.00716,7.619e-05,7.619e-05,7.619e-05
22,25.5559,2.08592,0.14286,0.37662,4.09049,7.52495e-05,7.52495e-05,7.52495e-05
23,26.6645,1.95042,0.14286,0.36364,4.01562,7.4309e-05,7.4309e-05,7.4309e-05
24,27.744,1.93952,0.14286,0.37662,4.03841,7.33685e-05,7.33685e-05,7.33685e-05
25,28.8467,1.84913,0.12987,0.4026,4.07747,7.2428e-05,7.2428e-05,7.2428e-05
26,30.0455,1.82984,0.14286,0.37662,4.10352,7.14875e-05,7.14875e-05,7.14875e-05
27,31.1434,1.75244,0.14286,0.38961,4.33464,7.0547e-05,7.0547e-05,7.0547e-05
28,32.4036,1.66431,0.15584,0.4026,4.21159,6.96065e-05,6.96065e-05,6.96065e-05
29,33.5664,1.63631,0.14286,0.4026,4.4082,6.8666e-05,6.8666e-05,6.8666e-05
30,34.6651,1.55648,0.15584,0.4026,4.16536,6.77255e-05,6.77255e-05,6.77255e-05
31,35.768,1.55756,0.16883,0.42857,4.02214,6.6785e-05,6.6785e-05,6.6785e-05
32,36.9007,1.54422,0.16883,0.42857,4.50456,6.58445e-05,6.58445e-05,6.58445e-05
33,37.9634,1.46549,0.16883,0.4026,4.20247,6.4904e-05,6.4904e-05,6.4904e-05
34,39.0942,1.3932,0.15584,0.44156,4.13672,6.39635e-05,6.39635e-05,6.39635e-05
35,40.1965,1.40119,0.16883,0.41558,4.32682,6.3023e-05,6.3023e-05,6.3023e-05
36,41.2405,1.30454,0.16883,0.38961,4.39258,6.20825e-05,6.20825e-05,6.20825e-05
37,42.3157,1.24921,0.16883,0.38961,4.5,6.1142e-05,6.1142e-05,6.1142e-05
38,43.5033,1.24811,0.16883,0.41558,4.38281,6.02015e-05,6.02015e-05,6.02015e-05
39,44.6629,1.21116,0.15584,0.4026,4.5612,5.9261e-05,5.9261e-05,5.9261e-05
40,45.7001,1.13313,0.15584,0.41558,4.49674,5.83205e-05,5.83205e-05,5.83205e-05
41,46.8384,1.12203,0.15584,0.38961,4.24023,5.738e-05,5.738e-05,5.738e-05
42,47.9409,1.11708,0.15584,0.41558,4.3431,5.64395e-05,5.64395e-05,5.64395e-05
43,49.0916,1.04367,0.15584,0.38961,4.61784,5.5499e-05,5.5499e-05,5.5499e-05
44,50.3705,1.07166,0.15584,0.38961,4.96875,5.45585e-05,5.45585e-05,5.45585e-05
45,51.5096,1.04946,0.14286,0.4026,4.86068,5.3618e-05,5.3618e-05,5.3618e-05
46,52.6272,0.97777,0.15584,0.4026,4.40039,5.26775e-05,5.26775e-05,5.26775e-05
47,53.7305,0.94015,0.15584,0.4026,4.51953,5.1737e-05,5.1737e-05,5.1737e-05
48,54.8415,0.99859,0.16883,0.4026,4.77734,5.07965e-05,5.07965e-05,5.07965e-05
49,55.9316,0.91325,0.16883,0.38961,4.58464,4.9856e-05,4.9856e-05,4.9856e-05
50,57.0785,0.92929,0.15584,0.38961,4.61198,4.89155e-05,4.89155e-05,4.89155e-05
51,58.1802,0.81818,0.15584,0.4026,4.79948,4.7975e-05,4.7975e-05,4.7975e-05
52,59.3099,0.84575,0.15584,0.38961,4.60286,4.70345e-05,4.70345e-05,4.70345e-05
53,60.4183,0.85328,0.16883,0.4026,4.92969,4.6094e-05,4.6094e-05,4.6094e-05
54,61.5936,0.80863,0.14286,0.38961,4.7474,4.51535e-05,4.51535e-05,4.51535e-05
55,62.6838,0.79203,0.14286,0.37662,4.71224,4.4213e-05,4.4213e-05,4.4213e-05
56,63.81,0.80845,0.15584,0.37662,4.73177,4.32725e-05,4.32725e-05,4.32725e-05
57,64.8803,0.74189,0.14286,0.37662,4.45898,4.2332e-05,4.2332e-05,4.2332e-05
58,66.0399,0.76567,0.14286,0.37662,4.73307,4.13915e-05,4.13915e-05,4.13915e-05
59,67.1538,0.73605,0.15584,0.38961,4.82812,4.0451e-05,4.0451e-05,4.0451e-05
60,68.2213,0.65983,0.14286,0.38961,4.99479,3.95105e-05,3.95105e-05,3.95105e-05
61,69.4638,0.68005,0.15584,0.4026,4.80599,3.857e-05,3.857e-05,3.857e-05
62,70.5478,0.70236,0.14286,0.4026,4.9362,3.76295e-05,3.76295e-05,3.76295e-05
63,71.6758,0.61609,0.14286,0.4026,4.6862,3.6689e-05,3.6689e-05,3.6689e-05
64,72.6816,0.68675,0.14286,0.41558,4.74609,3.57485e-05,3.57485e-05,3.57485e-05
65,73.7854,0.63953,0.14286,0.38961,4.87891,3.4808e-05,3.4808e-05,3.4808e-05
66,74.9871,0.6169,0.14286,0.4026,4.66146,3.38675e-05,3.38675e-05,3.38675e-05
67,76.0535,0.61123,0.15584,0.4026,4.86979,3.2927e-05,3.2927e-05,3.2927e-05
68,77.1979,0.62238,0.15584,0.38961,4.80599,3.19865e-05,3.19865e-05,3.19865e-05
69,78.2978,0.63226,0.16883,0.4026,4.51758,3.1046e-05,3.1046e-05,3.1046e-05
70,79.4326,0.62636,0.15584,0.4026,5.22526,3.01055e-05,3.01055e-05,3.01055e-05
71,80.5144,0.53376,0.15584,0.38961,5.28776,2.9165e-05,2.9165e-05,2.9165e-05
72,81.6508,0.51698,0.15584,0.36364,4.79297,2.82245e-05,2.82245e-05,2.82245e-05
73,82.7128,0.54834,0.15584,0.37662,4.84115,2.7284e-05,2.7284e-05,2.7284e-05
74,83.8677,0.49504,0.15584,0.37662,4.85807,2.63435e-05,2.63435e-05,2.63435e-05
75,84.9394,0.54873,0.15584,0.38961,4.76953,2.5403e-05,2.5403e-05,2.5403e-05
76,86.0319,0.5647,0.15584,0.38961,4.94792,2.44625e-05,2.44625e-05,2.44625e-05
77,87.1334,0.54629,0.15584,0.38961,4.68229,2.3522e-05,2.3522e-05,2.3522e-05
78,88.1863,0.53071,0.15584,0.38961,4.90104,2.25815e-05,2.25815e-05,2.25815e-05
79,89.3445,0.55404,0.16883,0.36364,5.01172,2.1641e-05,2.1641e-05,2.1641e-05
80,90.5402,0.51044,0.15584,0.37662,5.16146,2.07005e-05,2.07005e-05,2.07005e-05
81,91.6452,0.49798,0.15584,0.37662,4.88672,1.976e-05,1.976e-05,1.976e-05
82,92.8321,0.48868,0.15584,0.36364,5.05599,1.88195e-05,1.88195e-05,1.88195e-05
83,93.9362,0.51369,0.15584,0.36364,4.89844,1.7879e-05,1.7879e-05,1.7879e-05
84,95.0845,0.52292,0.15584,0.37662,4.96224,1.69385e-05,1.69385e-05,1.69385e-05
85,96.1916,0.52129,0.15584,0.36364,5.29688,1.5998e-05,1.5998e-05,1.5998e-05
86,97.2968,0.54269,0.15584,0.36364,4.95052,1.50575e-05,1.50575e-05,1.50575e-05
87,98.4252,0.46872,0.15584,0.37662,5.08464,1.4117e-05,1.4117e-05,1.4117e-05
88,99.5592,0.48599,0.15584,0.36364,5.27604,1.31765e-05,1.31765e-05,1.31765e-05
