epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,240.314,4.48627,0.02227,0.11336,4.40016,3.71613e-05,3.71613e-05,3.71613e-05
2,418.176,4.0003,0.10324,0.28745,4.09779,7.30196e-05,7.30196e-05,7.30196e-05
3,590.768,3.21253,0.18826,0.39069,4.02133,0.0001074,0.0001074,0.0001074
4,761.146,2.49813,0.24494,0.45142,4.22777,0.000105347,0.000105347,0.000105347
5,928.422,2.03414,0.27935,0.46761,4.46361,0.00010313,0.00010313,0.00010313
6,1097.03,1.75318,0.2996,0.49393,4.58521,0.000100912,0.000100912,0.000100912
7,1264.71,1.56956,0.31377,0.49595,4.83668,9.86944e-05,9.86944e-05,9.86944e-05
8,1429.64,1.44416,0.30364,0.4919,4.96909,9.64768e-05,9.64768e-05,9.64768e-05
9,1603.89,1.35266,0.32996,0.49595,5.00971,9.42592e-05,9.42592e-05,9.42592e-05
10,1769.07,1.25969,0.34211,0.49595,5.09002,9.20416e-05,9.20416e-05,9.20416e-05
11,1933.64,1.19141,0.34615,0.50405,5.08133,8.9824e-05,8.9824e-05,8.9824e-05
12,2101.71,1.14864,0.34818,0.50405,5.20543,8.76064e-05,8.76064e-05,8.76064e-05
13,2220.74,1.0775,0.35223,0.49393,5.34912,8.53888e-05,8.53888e-05,8.53888e-05
14,2375.74,1.03467,0.36032,0.50405,5.22516,8.31712e-05,8.31712e-05,8.31712e-05
15,2525.94,1.05355,0.36842,0.50202,5.35289,8.09536e-05,8.09536e-05,8.09536e-05
16,2708.32,0.98043,0.37854,0.50607,5.2725,7.8736e-05,7.8736e-05,7.8736e-05
17,2868.63,0.93426,0.36437,0.5081,5.47521,7.65184e-05,7.65184e-05,7.65184e-05
18,3019.66,0.92414,0.36032,0.51012,5.52994,7.43008e-05,7.43008e-05,7.43008e-05
19,3161.49,0.88053,0.36842,0.51012,5.5956,7.20832e-05,7.20832e-05,7.20832e-05
20,3304.9,0.84531,0.38057,0.51215,5.56977,6.98656e-05,6.98656e-05,6.98656e-05
21,3458.34,0.84075,0.37652,0.50405,5.7267,6.7648e-05,6.7648e-05,6.7648e-05
22,3610.52,0.80525,0.37854,0.50607,5.67375,6.54304e-05,6.54304e-05,6.54304e-05
23,3767.53,0.80515,0.37449,0.51619,5.61785,6.32128e-05,6.32128e-05,6.32128e-05
24,3909.27,0.76245,0.38057,0.52429,5.6835,6.09952e-05,6.09952e-05,6.09952e-05
25,4052.79,0.72872,0.37854,0.51619,5.7715,5.87776e-05,5.87776e-05,5.87776e-05
26,4169.74,0.73938,0.37247,0.52024,5.67677,5.656e-05,5.656e-05,5.656e-05
27,4299.71,0.71215,0.38664,0.51417,5.76911,5.43424e-05,5.43424e-05,5.43424e-05
28,4420.58,0.68731,0.37854,0.52429,5.71254,5.21248e-05,5.21248e-05,5.21248e-05
29,4547.45,0.69732,0.38259,0.52024,5.61676,4.99072e-05,4.99072e-05,4.99072e-05
30,4679.24,0.65576,0.38462,0.51619,5.6924,4.76896e-05,4.76896e-05,4.76896e-05
31,4810.73,0.63656,0.38057,0.51619,5.77439,4.5472e-05,4.5472e-05,4.5472e-05
32,4940.16,0.63788,0.38057,0.51822,5.83584,4.32544e-05,4.32544e-05,4.32544e-05
33,5061.08,0.64273,0.39069,0.52429,5.86122,4.10368e-05,4.10368e-05,4.10368e-05
34,5179.36,0.61625,0.38664,0.52024,5.90514,3.88192e-05,3.88192e-05,3.88192e-05
35,5300.18,0.60853,0.39069,0.52024,5.88798,3.66016e-05,3.66016e-05,3.66016e-05
36,5419.84,0.60603,0.39271,0.52024,5.93503,3.4384e-05,3.4384e-05,3.4384e-05
37,5535.13,0.57512,0.38462,0.52024,5.92787,3.21664e-05,3.21664e-05,3.21664e-05
38,5663.43,0.58385,0.38664,0.52024,5.87218,2.99488e-05,2.99488e-05,2.99488e-05
39,5789.11,0.56573,0.39069,0.52429,5.86653,2.77312e-05,2.77312e-05,2.77312e-05
40,5915.22,0.53949,0.39474,0.52429,5.88999,2.55136e-05,2.55136e-05,2.55136e-05
41,6036.66,0.55542,0.39474,0.52227,5.91966,2.3296e-05,2.3296e-05,2.3296e-05
42,6160.45,0.55035,0.38866,0.52632,5.89864,2.10784e-05,2.10784e-05,2.10784e-05
43,6284.05,0.52666,0.38866,0.52429,5.98641,1.88608e-05,1.88608e-05,1.88608e-05
44,6414.71,0.55721,0.38866,0.52227,5.89349,1.66432e-05,1.66432e-05,1.66432e-05
45,6551.44,0.53444,0.38462,0.52429,6.01064,1.44256e-05,1.44256e-05,1.44256e-05
46,6706.54,0.51467,0.38866,0.52227,6.02479,1.2208e-05,1.2208e-05,1.2208e-05
47,6853.77,0.5229,0.39069,0.52429,6.08277,9.9904e-06,9.9904e-06,9.9904e-06
48,7009.86,0.50977,0.39069,0.52429,5.92719,7.7728e-06,7.7728e-06,7.7728e-06
49,7143.23,0.51393,0.39069,0.51822,5.91225,5.5552e-06,5.5552e-06,5.5552e-06
50,7283.05,0.52682,0.38462,0.52024,6.03276,3.3376e-06,3.3376e-06,3.3376e-06
