epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,429.691,0.08904,1,1,0.00043,0.000553967,0.000553967,0.000553967
2,789.598,0.0001,1,1,9e-05,0.00108766,0.00108766,0.00108766
3,1037.34,2e-05,1,1,2e-05,0.00159935,0.00159935,0.00159935
4,1259.66,1e-05,1,1,1e-05,0.00156798,0.00156798,0.00156798
5,1529.07,1e-05,1,1,1e-05,0.00153497,0.00153497,0.00153497
6,1830.42,0,1,1,0,0.00150197,0.00150197,0.00150197
7,2136.57,0,1,1,0,0.00146896,0.00146896,0.00146896
8,2448.36,0,1,1,0,0.00143595,0.00143595,0.00143595
9,2734.66,0,1,1,0,0.00140295,0.00140295,0.00140295
10,2968.51,0,1,1,0,0.00136994,0.00136994,0.00136994
11,3183.86,0,1,1,0,0.00133693,0.00133693,0.00133693
12,3403.42,0,1,1,0,0.00130393,0.00130393,0.00130393
13,3604.34,0,1,1,0,0.00127092,0.00127092,0.00127092
14,3841.77,0,1,1,0,0.00123791,0.00123791,0.00123791
15,4009.88,0,1,1,0,0.00120491,0.00120491,0.00120491
16,4175.64,0,1,1,0,0.0011719,0.0011719,0.0011719
17,4345,0,1,1,0,0.00113889,0.00113889,0.00113889
18,4506.42,0,1,1,0,0.00110589,0.00110589,0.00110589
19,4657.2,0,1,1,0,0.00107288,0.00107288,0.00107288
20,4855.08,0,1,1,0,0.00103987,0.00103987,0.00103987
21,5050.43,0,1,1,0,0.00100687,0.00100687,0.00100687
22,5313.3,0,1,1,0,0.000973861,0.000973861,0.000973861
23,5513.3,0,1,1,0,0.000940855,0.000940855,0.000940855
24,5722.93,0,1,1,0,0.000907848,0.000907848,0.000907848
25,6033.44,0,1,1,0,0.000874842,0.000874842,0.000874842
26,6247.91,0,1,1,0,0.000841835,0.000841835,0.000841835
27,6479.7,0,1,1,0,0.000808828,0.000808828,0.000808828
28,6682.32,0,1,1,0,0.000775822,0.000775822,0.000775822
29,6905.29,0,1,1,0,0.000742815,0.000742815,0.000742815
30,7134.64,0,1,1,0,0.000709809,0.000709809,0.000709809
31,7360.87,0,1,1,0,0.000676802,0.000676802,0.000676802
32,7552.91,0,1,1,0,0.000643795,0.000643795,0.000643795
33,7696.12,0,1,1,0,0.000610789,0.000610789,0.000610789
